0	0	1	1	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0
1.43512	0.114499	1.68377	-0.391502	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.79352	0.0660319	2.31987	-0.461846	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.95076	-0.18149	2.01023	-0.129123	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
4.18705	0.191611	2.45224	0.479028	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.80029	0.472944	2.76995	0.142142	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.52994	0.478971	2.39106	0.233783	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.03438	0.619588	2.60957	0.0762993	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
8.93793	0.879195	2.48712	0.517147	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5326	1.60708	2.70036	0.871295	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.4322	1.43923	2.46277	0.571196	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.6727	2.25273	2.04433	0.950276	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.7609	2.04659	2.41634	0.663304	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.5136	2.8588	3.07839	0.917557	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.2883	2.84352	2.62201	0.875167	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
18.9832	3.70619	2.76206	0.862565	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.1026	3.79881	2.51736	0.854362	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.4087	4.72478	2.11694	0.936399	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.6368	4.75749	2.6211	1.03035	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.1332	5.60998	2.35956	0.764126	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.4838	5.8446	2.9397	1.1047	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.8272	6.98257	1.80037	1.07028	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.8769	6.99675	2.5197	1.42198	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5464	8.13175	2.75969	1.05664	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.515	8.21033	2.77009	1.17855	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
32.0158	9.8204	2.33206	1.70766	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
31.9129	9.63943	2.35084	1.60873	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.5453	10.764	2.78647	1.02272	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.8274	10.8848	2.90321	1.13014	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.2937	12.1032	2.09636	1.15737	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.5438	12.2515	2.68724	1.44355	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3133	13.494	2.7985	1.20075	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
40.0775	13.5493	2.59781	1.31628	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
42.7442	14.83	2.71897	1.28609	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
42.6803	14.906	2.74786	1.43281	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
45.3651	16.5269	2.67435	1.65839	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
45.5141	16.5325	2.76101	1.59019	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
48.2296	17.4036	2.49745	0.661333	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
48.1174	17.4605	2.57075	0.772575	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
50.5959	18.964	2.5794	1.67216	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
50.5513	18.8821	2.49054	1.56647	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
53.5806	19.9339	3.35374	1.05654	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
53.387	19.8417	2.68329	0.811318	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
56.0181	21.0368	2.68559	1.2784	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
55.879	20.9861	2.41711	1.18005	55.867	20.985	55.9669	20.9874	2.56561	0.978022
58.5901	21.8117	2.86751	0.814882	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
58.5658	21.8571	2.7282	0.832876	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
60.9755	22.7985	2.1668	0.883946	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
60.9252	22.7544	2.3936	0.955121	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
63.3828	23.4422	2.44084	0.641064	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
63.5906	23.566	2.50098	0.740197	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
66.2935	24.0214	2.79968	0.442844	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
65.9674	23.9241	2.25361	0.259783	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
68.2418	24.3341	2.33153	0.448899	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
68.516	24.4647	2.54785	0.577047	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
70.8973	24.9169	2.20595	0.381728	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
